Address,Employment_Status,Rent_vs_Own,Household_Size,Average_Age_of_Residents,Median_Household_Income
116 Exam Square,Retired,Rent,2,38,21730.95861
72 Blossom Rise,Full-Time,Own,2,42,44578.70681
117 Church Road,Full-Time,Own,3,54,57885.82488
7 Station Road,Full-Time,Own,5,59,54204.88462
196 Church Road,Full-Time,Own,6,46,56841.34144
88 Exchange Place,Full-Time,Own,6,56,48152.26129
179 Heritage Close,Retired,Own,2,43,21276.09804
14 The Old Yard,Full-Time,Own,3,51,58254.23834
93 Library Lane,Unemployed,Rent,4,57,11863.41299
108 Primrose Avenue,Full-Time,Rent,4,29,57039.53169
167 Varsity Place,Full-Time,Own,2,34,51260.71675
17 Maple Drive,Full-Time,Own,2,31,50022.04195
155 School House Lane,Full-Time,Own,4,35,57897.16466
6 High Street,Full-Time,Own,1,40,48235.77495
65 Graduation Way,Unemployed,Rent,5,55,10347.96396
61 Professor’s Close,Unemployed,Rent,6,42,9656.83833
198 Seminar Terrace,Part-Time,Rent,1,52,24942.44545
21 Academic Crescent,Unemployed,Rent,5,51,11544.47168
50 Lab Street,Full-Time,Own,3,28,54443.80506
133 College Crescent,Full-Time,Own,3,41,49285.47815
97 Seminar Terrace,Full-Time,Rent,1,26,43247.04574
6 College Road,Full-Time,Own,4,54,43539.50962
17 Seminar Terrace,Full-Time,Rent,6,35,53281.19931
83 Exchange Place,Full-Time,Own,4,57,58743.71035
78 Freshers Row,Unemployed,Rent,3,55,9714.044643
129 Albert Walk,Full-Time,Own,4,45,48895.37947
71 Dahlia Court,Full-Time,Own,2,52,53713.52794
113 Varsity Place,Part-Time,Own,3,30,34260.61373
95 Seminar Terrace,Unemployed,Rent,5,45,11215.03491
57 Rosehip Road,Retired,Own,2,50,27146.73316
29 Clock Tower Road,Full-Time,Own,4,31,45181.89441
109 Bell Tower Street,Part-Time,Own,5,33,26059.25636
50 Market Lane,Part-Time,Rent,5,50,24086.24141
185 Castle Lane,Full-Time,Own,1,31,59391.20377
150 Professor’s Close,Part-Time,Own,1,52,29202.6825
194 The Green,Full-Time,Rent,5,26,43978.09116
155 Freshers Row,Unemployed,Rent,3,32,8489.699043
29 Chestnut Mews,Part-Time,Own,6,25,25794.37434
143 Professor’s Close,Part-Time,Own,5,47,28021.73377
131 Oak Lane,Full-Time,Rent,6,30,57172.42685
19 Horizon Close,Retired,Own,2,39,29702.9559
171 Academic Crescent,Unemployed,Rent,3,39,10028.70017
128 Castle Lane,Retired,Rent,1,51,23184.62162
75 Bluebell View,Full-Time,Own,6,43,43509.23505
19 College Crescent,Full-Time,Own,2,26,45748.39298
24 College Crescent,Full-Time,Own,4,32,52380.67781
60 Academic Crescent,Full-Time,Rent,1,35,58905.13321
48 Cedar Crescent,Full-Time,Own,4,46,49822.39263
84 Poppy Crescent,Part-Time,Own,6,45,25677.80182
177 Union Street,Full-Time,Rent,2,43,58923.66803
85 Victoria Parade,Part-Time,Own,4,38,35554.33717
51 Parliament Street,Part-Time,Rent,4,32,34741.93862
72 Alumni Grove,Retired,Rent,1,30,28591.59522
195 Dean’s View,Unemployed,Rent,4,56,11109.70158
152 Bridge Street,Part-Time,Own,3,47,25513.87286
92 Research Boulevard,Unemployed,Rent,4,29,9308.872362
32 Victoria Parade,Full-Time,Own,6,28,55083.02532
122 Victoria Parade,Full-Time,Rent,4,35,57325.20266
174 College Crescent,Full-Time,Rent,2,26,44549.00969
53 Albert Walk,Part-Time,Own,2,38,31450.69296
150 Study Mews,Full-Time,Own,5,31,57118.34225
149 Study Mews,Retired,Own,2,41,23474.55518
127 Varsity Place,Unemployed,Rent,2,46,8786.405068
183 Exam Square,Full-Time,Rent,5,59,56752.8277
149 Church Road,Full-Time,Own,6,35,43410.62937
58 Friar’s Court,Retired,Own,1,50,24606.89005
93 Chapel Walk,Full-Time,Own,6,38,41911.3069
171 Birch Grove,Full-Time,Own,6,34,48899.88621
38 Union Street,Full-Time,Rent,4,50,58482.89064
46 Bluebell View,Full-Time,Rent,4,49,53872.31549
195 Research Boulevard,Part-Time,Own,6,46,35812.30822
4 Crown Street,Full-Time,Own,3,39,48960.46729
197 Research Boulevard,Unemployed,Rent,2,30,11556.84733
15 Prince’s Gate,Retired,Rent,2,43,29112.60466
114 Lecture Hall Lane,Unemployed,Rent,1,52,8361.797845
108 Varsity Place,Retired,Rent,1,51,29790.32679
54 Library Lane,Full-Time,Rent,4,59,57844.01036
152 Juniper Walk,Full-Time,Own,1,41,52527.99921
48 Victoria Parade,Full-Time,Own,5,49,50728.54018
17 Professor’s Close,Unemployed,Rent,3,28,9540.714604
73 Study Mews,Retired,Own,2,33,25862.70844
162 Mill Street,Full-Time,Rent,1,45,54732.40476
78 Research Boulevard,Full-Time,Own,1,28,54171.5799
70 Freshers Row,Full-Time,Rent,1,30,46006.20918
45 Cathedral Row,Full-Time,Own,1,38,53434.24003
132 Old Forge Lane,Full-Time,Own,1,33,40093.06711
192 Professor’s Close,Unemployed,Rent,1,59,8679.357489
53 The Old Yard,Full-Time,Own,4,35,43037.35334
187 Rosehip Road,Full-Time,Own,6,45,54820.47062
115 Merchant Street,Full-Time,Rent,6,35,57939.51402
149 Old Forge Lane,Full-Time,Own,3,42,41726.84283
37 The Old Yard,Part-Time,Own,1,42,34941.97339
31 Clock Tower Road,Full-Time,Own,1,47,46132.28632
3 Chestnut Mews,Full-Time,Own,6,49,52453.5524
137 Abbey Lane,Part-Time,Own,1,52,25967.17743
175 Clock Tower Road,Full-Time,Own,1,43,48055.90624
103 Professor’s Close,Retired,Own,1,51,24619.52859
52 Alumni Grove,Unemployed,Rent,2,40,9498.293893
86 Lecture Hall Lane,Full-Time,Own,1,31,56442.60908
15 Cross Keys Way,Full-Time,Rent,1,35,51671.66643
192 Research Boulevard,Unemployed,Rent,5,29,9984.541872
138 Butcher’s Row,Full-Time,Own,5,52,55679.37342
20 Aspen Gardens,Full-Time,Rent,3,30,54187.0858
177 Library Lane,Unemployed,Rent,2,45,8419.43583
181 Graduation Way,Full-Time,Rent,4,56,50356.88368
36 Parliament Street,Full-Time,Rent,3,36,55957.78227
119 Scholar’s Walk,Part-Time,Own,3,35,31656.06759
77 Varsity Place,Unemployed,Rent,1,58,10851.33453
53 Varsity Place,Unemployed,Rent,1,58,10293.35965
158 Exchange Place,Full-Time,Own,4,44,58560.84664
31 College Road,Unemployed,Rent,5,59,10057.87864
151 Exchange Place,Full-Time,Own,1,52,51274.78471
28 Market Lane,Full-Time,Own,2,43,57583.97
32 Old Forge Lane,Full-Time,Own,4,28,52295.11551
90 Heritage Close,Full-Time,Own,6,39,48751.7434
23 Sycamore Way,Part-Time,Rent,4,50,27042.86119
197 Exchange Place,Full-Time,Own,1,33,59309.91905
122 George Square,Full-Time,Rent,4,38,55420.37701
8 Crown Street,Full-Time,Own,5,48,41655.60492
185 Heritage Close,Full-Time,Rent,1,27,42506.24763
2 Juniper Walk,Part-Time,Rent,5,33,26464.30199
52 Queen Avenue,Part-Time,Own,5,58,26843.56266
140 Station Road,Part-Time,Rent,6,47,31740.9602
106 Scholar’s Walk,Unemployed,Rent,2,49,10131.96787
161 Exchange Place,Full-Time,Own,1,42,44716.20536
183 Chestnut Mews,Retired,Rent,2,54,21495.98927
23 Horizon Close,Full-Time,Own,4,41,53835.85856
39 Sycamore Way,Part-Time,Rent,3,33,24630.84036
57 Heritage Close,Retired,Own,2,28,22192.43171
116 Exchange Place,Full-Time,Own,6,35,45914.52331
15 College Crescent,Full-Time,Own,4,53,43625.78052
38 Victoria Parade,Part-Time,Own,2,55,30889.03415
94 Alumni Grove,Unemployed,Rent,6,45,10868.48501
67 Alumni Grove,Full-Time,Own,2,28,48147.4165
96 College Road,Unemployed,Rent,1,28,8666.489703
99 Faculty Court,Full-Time,Rent,4,49,48027.96496
85 Scholar’s Walk,Unemployed,Rent,6,52,9863.544068
67 The Green,Full-Time,Rent,6,46,57595.07207
9 Abbey Lane,Part-Time,Own,5,39,30378.9724
154 Crown Street,Full-Time,Own,2,45,41144.69346
160 Lab Street,Full-Time,Own,4,35,59563.67487
86 Study Mews,Full-Time,Own,5,45,43774.93005
17 Aspen Gardens,Full-Time,Own,4,36,50567.4621
141 Academic Crescent,Unemployed,Rent,2,38,9365.486899
161 Union Street,Unemployed,Rent,2,27,10792.664
87 Scholar’s Walk,Full-Time,Rent,5,44,43816.52248
163 Manor Row,Full-Time,Rent,4,59,50248.86535
37 Dean’s View,Unemployed,Rent,2,48,10056.81815
48 Exam Square,Unemployed,Rent,4,49,10604.20915
177 Station Road,Full-Time,Own,1,26,51640.7654
137 Sycamore Way,Part-Time,Rent,5,35,25511.15877
68 Prince’s Gate,Full-Time,Rent,3,36,53884.92584
47 Study Mews,Full-Time,Rent,5,40,49261.1026
95 The Old Yard,Full-Time,Rent,2,47,43749.80488
130 Union Street,Part-Time,Own,4,40,28801.31698
24 Varsity Place,Unemployed,Rent,6,58,9477.340771
175 Lab Street,Unemployed,Rent,5,54,9773.695994
192 Cathedral Row,Full-Time,Own,3,33,57892.96953
163 George Square,Full-Time,Own,1,47,57431.35034
82 Victoria Parade,Full-Time,Own,2,28,40481.05874
35 Market Cross Road,Part-Time,Rent,4,52,30156.79235
184 Study Mews,Full-Time,Rent,1,31,41467.29599
106 Graduation Way,Part-Time,Own,2,49,24436.221
180 Clock Tower Road,Part-Time,Own,5,31,26534.79306
128 Library Lane,Unemployed,Rent,5,45,11862.36878
181 Crown Street,Full-Time,Own,3,58,58617.57474
166 Poppy Crescent,Full-Time,Rent,6,32,54265.24161
175 Lecture Hall Lane,Full-Time,Own,1,26,46173.21304
176 College Crescent,Part-Time,Own,5,45,26536.69975
66 Friar’s Court,Full-Time,Own,3,44,43427.16439
61 Faculty Court,Full-Time,Rent,4,37,40428.15494
49 Castle View,Retired,Own,1,36,24403.60785
162 Birch Grove,Full-Time,Rent,4,27,52125.39334
88 Crown Street,Full-Time,Own,5,27,51885.29926
33 Primrose Avenue,Full-Time,Rent,4,26,54031.07449
104 Varsity Place,Part-Time,Own,5,38,30127.84111
148 Castle Lane,Full-Time,Rent,3,27,50673.79498
181 Dean’s View,Full-Time,Rent,5,52,59187.75064
15 Castle Lane,Full-Time,Own,5,32,51290.72461
185 Cross Keys Way,Retired,Own,2,54,28738.74743
1 Exam Square,Full-Time,Own,4,35,42490.34049
184 Lavender Park,Part-Time,Own,5,39,33915.65082
73 Sycamore Way,Full-Time,Rent,1,41,53769.43714
166 Friar’s Court,Full-Time,Rent,1,34,40115.68396
10 Cobbler’s Alley,Full-Time,Rent,1,54,44210.06328
120 Willow Heights,Part-Time,Own,2,40,26583.44127
136 Old Forge Lane,Full-Time,Own,1,42,47946.25042
187 College Crescent,Full-Time,Rent,1,54,47832.32708
16 Poppy Crescent,Full-Time,Rent,5,25,46984.97914
150 Academic Crescent,Full-Time,Own,1,25,48690.94181
96 Sycamore Way,Full-Time,Own,1,59,56541.00982
196 Pillory Hill,Full-Time,Own,2,49,41010.30157
137 Market Lane,Full-Time,Own,2,43,56947.39735
133 Academic Crescent,Full-Time,Own,1,57,58370.7558
54 Ivy Boulevard,Full-Time,Own,1,30,43330.30108
177 Faculty Court,Unemployed,Rent,5,49,9464.630015
86 Library Lane,Unemployed,Rent,5,54,10604.53967
166 Market Lane,Part-Time,Own,2,51,35742.84883
148 The Green,Part-Time,Own,5,42,34394.04512
31 Exam Square,Unemployed,Rent,4,35,10963.71615
75 Town Gate,Full-Time,Own,6,49,58787.40418
177 Cobbler’s Alley,Full-Time,Rent,3,46,59647.75113
92 Varsity Place,Full-Time,Own,2,53,57962.58739
125 College Road,Unemployed,Rent,2,49,8745.345085
124 Crown Street,Full-Time,Rent,5,47,54277.46528
12 Alumni Grove,Unemployed,Rent,3,34,9597.066864
156 King Street,Full-Time,Own,1,48,41110.52638
123 Ivy Boulevard,Full-Time,Own,2,49,56580.77817
79 Prince’s Gate,Full-Time,Rent,1,30,45889.08948
3 Graduation Way,Full-Time,Rent,5,50,55413.96778
151 Professor’s Close,Part-Time,Rent,3,47,26018.53683
144 The Old Yard,Full-Time,Rent,1,42,40975.97411
124 Albert Walk,Retired,Own,1,57,26500.42
75 Academic Crescent,Retired,Rent,1,35,24441.26702
197 Albert Walk,Full-Time,Own,1,28,56936.05318
141 Primrose Avenue,Part-Time,Rent,3,54,34954.57772
83 George Square,Full-Time,Own,5,52,48122.70639
121 Church Road,Part-Time,Rent,6,27,31401.44235
17 Old Forge Lane,Part-Time,Rent,4,44,27355.17572
58 Scholar’s Walk,Unemployed,Rent,4,52,9036.69559
40 Ivy Boulevard,Full-Time,Rent,2,34,57181.37929
82 Scholar’s Walk,Unemployed,Rent,6,44,8581.836649
59 Study Mews,Unemployed,Rent,4,37,9780.425129
103 Aspen Gardens,Part-Time,Own,6,42,29448.72776
82 School House Lane,Full-Time,Own,3,48,51688.35011
3 Campus Avenue,Part-Time,Rent,2,54,31574.35389
115 Freshers Row,Part-Time,Own,4,40,29190.57694
168 Library Lane,Retired,Own,1,35,24417.20423
62 Primrose Avenue,Full-Time,Own,1,52,52432.10245
196 Maple Drive,Full-Time,Own,1,26,54046.53742
27 Exam Square,Unemployed,Rent,4,39,11174.05676
169 Cathedral Row,Full-Time,Rent,6,57,53678.39243
24 Clock Tower Road,Part-Time,Rent,6,51,24090.42474
106 Campus Avenue,Full-Time,Own,6,46,44623.75319
122 Lecture Hall Lane,Part-Time,Rent,2,54,25619.81578
142 Dahlia Court,Part-Time,Own,3,44,33740.2347
79 Study Mews,Part-Time,Rent,6,48,29771.47753
72 Dean’s View,Unemployed,Rent,4,25,9533.397135
65 Faculty Court,Unemployed,Rent,3,48,10999.79136
77 College Road,Unemployed,Rent,6,25,8305.911905
47 Faculty Court,Full-Time,Rent,2,39,54074.64861
60 Freshers Row,Part-Time,Rent,5,40,30268.88197
14 Research Boulevard,Full-Time,Own,2,29,48453.39423
14 Varsity Place,Full-Time,Own,5,29,53202.47006
54 Dean’s View,Unemployed,Rent,1,46,8084.109742
193 Prince’s Gate,Part-Time,Rent,3,35,25231.8512
122 Cross Keys Way,Full-Time,Own,1,57,47957.09235
53 Study Mews,Unemployed,Rent,3,39,8372.352709
115 Library Lane,Part-Time,Own,2,43,29793.81413
47 Professor’s Close,Unemployed,Rent,4,51,10380.74389
191 Freshers Row,Full-Time,Own,4,43,52891.17564
196 Scholar’s Walk,Unemployed,Rent,5,32,8946.934421
32 Prince’s Gate,Full-Time,Rent,4,51,55284.27001
17 Magnolia Row,Full-Time,Rent,3,51,41822.89763
11 Library Lane,Full-Time,Own,4,35,58574.61094
89 Cedar Crescent,Full-Time,Rent,1,35,42726.69985
165 Lavender Park,Part-Time,Rent,6,25,29210.21718
173 Ivy Boulevard,Part-Time,Own,4,28,24462.15611
161 Cedar Crescent,Full-Time,Own,1,25,49679.34907
180 Union Street,Full-Time,Own,5,31,58531.21431
114 Library Lane,Full-Time,Own,5,58,44289.68674
72 College Crescent,Full-Time,Own,2,33,58126.1937
98 Lab Street,Full-Time,Rent,2,31,50084.98588
63 Seminar Terrace,Full-Time,Rent,2,43,42158.92289
144 Seminar Terrace,Unemployed,Rent,1,40,11086.83113
116 College Road,Unemployed,Rent,2,42,9748.849793
111 Chapel Walk,Full-Time,Rent,5,31,49588.14053
50 Dahlia Court,Full-Time,Own,4,49,52260.21186
171 Old Forge Lane,Part-Time,Rent,1,55,33955.29963
144 Varsity Place,Unemployed,Rent,2,47,9639.919074
121 Butcher’s Row,Full-Time,Own,2,47,55039.38112
65 Lavender Park,Retired,Rent,2,57,21608.68279
20 School House Lane,Full-Time,Rent,4,58,40959.37194
177 Poppy Crescent,Part-Time,Rent,3,33,24566.78135
86 Blossom Rise,Full-Time,Own,4,43,40838.69473
132 Aspen Gardens,Retired,Own,2,57,25261.97796
104 Exam Square,Full-Time,Rent,4,56,47804.50627
188 Academic Crescent,Part-Time,Own,4,36,33430.17147
100 Church Road,Full-Time,Own,5,38,40062.02876
15 Chancellor Road,Full-Time,Own,3,37,53426.75985
148 Primrose Avenue,Part-Time,Rent,1,34,28489.77881
110 Alumni Grove,Retired,Own,1,57,24706.89439
15 Willow Heights,Retired,Own,1,52,21349.75762
141 Chancellor Road,Unemployed,Rent,4,45,11063.99314
135 Research Boulevard,Unemployed,Rent,2,45,11479.69872
189 Cobbler’s Alley,Retired,Own,1,53,20352.89004
48 George Square,Full-Time,Own,3,56,46760.74591
162 Cathedral Row,Full-Time,Own,5,39,48319.65988
187 Academic Crescent,Full-Time,Rent,6,46,57122.88363
118 Dean’s View,Full-Time,Rent,3,49,55903.97913
92 Bell Tower Street,Retired,Rent,2,42,25486.38557
20 George Square,Part-Time,Own,1,39,26160.58993
81 Silverleaf Way,Part-Time,Own,4,40,30648.5409
78 Library Lane,Unemployed,Rent,5,37,9763.466119
25 College Crescent,Retired,Own,2,50,29031.38843
168 Prince’s Gate,Part-Time,Own,2,34,27214.32449
66 Library Lane,Unemployed,Rent,3,27,11181.47463
26 George Square,Full-Time,Own,5,34,51304.9925
38 Lab Street,Full-Time,Own,6,50,40665.72465
83 Rosehip Road,Full-Time,Rent,5,41,45003.39964
106 Lab Street,Full-Time,Own,1,29,42612.25229
93 Cross Keys Way,Full-Time,Own,1,40,49367.16232
90 Faculty Court,Unemployed,Rent,2,46,11169.2032
173 Freshers Row,Full-Time,Rent,6,27,51738.11698
59 Research Boulevard,Full-Time,Own,1,31,46534.67912
36 Pillory Hill,Full-Time,Own,5,45,54535.79462
10 George Square,Retired,Rent,2,49,26200.97287
137 Varsity Place,Part-Time,Own,4,35,24834.30954
42 Magnolia Row,Full-Time,Own,2,31,42161.06273
10 Lecture Hall Lane,Full-Time,Own,2,46,42025.70286
3 Professor’s Close,Retired,Own,1,36,23188.98293
81 Dean’s View,Retired,Own,1,34,25789.7641
55 Library Lane,Full-Time,Own,1,43,58623.41725
28 Crown Street,Part-Time,Rent,2,40,32021.04593
78 Study Mews,Retired,Own,2,28,27085.92939
107 Chapel Walk,Part-Time,Own,3,30,25163.1919
1 Research Boulevard,Retired,Rent,2,30,21053.5817
146 Cedar Crescent,Full-Time,Own,6,42,42765.74796
49 Birch Grove,Retired,Own,1,59,25826.81731
44 Faculty Court,Full-Time,Own,5,51,54864.78043
12 Professor’s Close,Part-Time,Own,1,27,33496.07825
162 Friar’s Court,Full-Time,Own,6,30,44210.22285
132 The Old Yard,Part-Time,Own,3,53,32670.29458
165 Library Lane,Unemployed,Rent,4,52,9291.864734
45 Bridge Street,Full-Time,Own,6,52,51154.50126
4 Ivy Boulevard,Full-Time,Rent,6,50,50205.1631
69 Exam Square,Full-Time,Own,6,44,41460.36453
19 Academic Crescent,Retired,Rent,1,40,28409.33729
149 The Green,Full-Time,Own,4,48,54690.49712
164 Butcher’s Row,Full-Time,Own,6,37,53537.88805
184 Crown Street,Full-Time,Own,4,56,46801.78786
75 Exam Square,Unemployed,Rent,1,32,11967.41911
17 Ivy Boulevard,Full-Time,Rent,1,35,41256.52135
37 Chapel Walk,Full-Time,Rent,2,37,46047.84426
105 Professor’s Close,Full-Time,Own,4,53,42632.86892
52 The Old Yard,Retired,Rent,1,53,22355.1935
192 Old Forge Lane,Retired,Rent,1,58,24462.57849
80 Manor Row,Full-Time,Rent,1,43,52257.18859
135 Crown Street,Full-Time,Rent,6,40,41960.15141
19 Faculty Court,Full-Time,Own,4,55,51619.92844
178 Campus Avenue,Unemployed,Rent,3,51,11113.81221
101 Prince’s Gate,Full-Time,Rent,6,38,58395.67276
143 King Street,Full-Time,Rent,1,53,44172.91189
7 Academic Crescent,Full-Time,Own,2,47,57843.59521
191 Silverleaf Way,Retired,Rent,2,52,28710.54383
23 School House Lane,Part-Time,Own,2,34,27381.62716
157 Library Lane,Part-Time,Own,2,50,32249.68275
81 Academic Crescent,Unemployed,Rent,3,47,10774.16525
25 Lab Street,Part-Time,Own,2,42,35369.13042
48 Town Gate,Part-Time,Own,1,28,26773.92328
8 Study Mews,Full-Time,Rent,1,35,41852.773
165 Market Lane,Part-Time,Own,6,37,30714.79249
48 Study Mews,Unemployed,Rent,5,49,9028.704562
33 Exchange Place,Part-Time,Own,4,31,26829.98666
170 Rosehip Road,Full-Time,Rent,4,54,58462.57813
77 Chapel Walk,Full-Time,Rent,3,30,54462.46644
24 Exchange Place,Retired,Own,1,56,26697.87021
152 Research Boulevard,Part-Time,Own,1,45,35426.47563
117 Parliament Street,Part-Time,Own,2,53,24828.50257
84 High Street,Part-Time,Own,4,49,31045.56355
123 Abbey Lane,Full-Time,Rent,6,34,49749.29985
101 Poppy Crescent,Full-Time,Rent,6,43,46042.97326
132 Lavender Park,Full-Time,Own,5,28,51732.71692
36 Research Boulevard,Full-Time,Own,4,53,56005.47124
87 Campus Avenue,Unemployed,Rent,3,41,10245.52382
98 Heritage Close,Full-Time,Rent,1,58,43478.16295
84 Maple Drive,Full-Time,Own,2,29,51274.31913
14 Library Lane,Full-Time,Own,4,30,43929.10207
186 Cedar Crescent,Full-Time,Rent,1,59,43022.35159
2 Chancellor Road,Full-Time,Own,6,28,50935.93278
22 Juniper Walk,Full-Time,Own,2,51,42121.48579
48 Professor’s Close,Full-Time,Own,4,25,47523.59985
119 Chestnut Mews,Full-Time,Rent,4,40,52997.89107
113 Maple Drive,Full-Time,Own,6,49,51662.96154
192 Bridge Street,Full-Time,Own,4,28,49675.32347
121 Campus Avenue,Full-Time,Own,3,35,44859.85038
125 Academic Crescent,Full-Time,Own,3,42,46007.96628
80 King Street,Full-Time,Own,2,47,44397.77625
149 Seminar Terrace,Unemployed,Rent,2,29,10101.57252
114 Aspen Gardens,Full-Time,Rent,1,41,57754.47473
119 Aspen Gardens,Retired,Own,2,37,28428.43632
72 Ivy Boulevard,Full-Time,Rent,6,28,55997.1341
14 Bridge Street,Full-Time,Own,5,54,45676.72618
60 Magnolia Row,Full-Time,Own,4,39,49425.39878
111 Queen Avenue,Full-Time,Own,4,32,47832.9987
104 Silverleaf Way,Part-Time,Own,1,30,30322.00388
28 Albert Walk,Full-Time,Rent,3,28,48900.62292
163 Freshers Row,Unemployed,Rent,3,50,9827.452439
84 Bell Tower Street,Part-Time,Own,2,49,24819.3208
18 Aspen Gardens,Full-Time,Rent,2,45,44024.772
2 Rosehip Road,Part-Time,Rent,1,53,28509.56581
183 Clock Tower Road,Part-Time,Own,3,34,26804.23269
8 Library Lane,Full-Time,Own,4,44,57507.70636
158 Study Mews,Full-Time,Own,6,44,58037.9234
107 Willow Heights,Full-Time,Own,4,49,53820.01181
161 Victoria Parade,Full-Time,Rent,3,31,59069.71056
162 Grand Arcade,Full-Time,Rent,1,29,42190.83389
157 Chapel Walk,Part-Time,Rent,2,31,28159.222
68 Lab Street,Full-Time,Own,1,54,59689.79493
22 Abbey Lane,Full-Time,Own,3,52,53034.79133
68 Study Mews,Full-Time,Rent,1,41,59102.76268
199 Blossom Rise,Full-Time,Rent,3,51,44228.25211
68 Aspen Gardens,Full-Time,Rent,1,42,49046.04689
80 Union Street,Full-Time,Own,5,44,45158.50923
149 Albert Walk,Full-Time,Own,4,26,58116.15647
47 Station Road,Full-Time,Rent,5,46,52802.22461
123 Lab Street,Full-Time,Own,3,42,53590.57557
175 High Street,Full-Time,Own,4,32,52082.07524
26 Lavender Park,Full-Time,Own,5,35,55857.56493
199 Market Cross Road,Full-Time,Own,6,47,50188.36354
101 Dahlia Court,Full-Time,Own,1,55,57354.98334
160 Bluebell View,Full-Time,Own,1,45,40830.51802
189 Union Street,Unemployed,Rent,4,50,11195.29927
24 Butcher’s Row,Part-Time,Rent,3,48,24212.11458
98 Sycamore Way,Full-Time,Own,6,41,46600.11238
74 Library Lane,Full-Time,Rent,5,58,49049.79843
177 Research Boulevard,Full-Time,Own,3,38,51068.34141
12 Heritage Close,Full-Time,Rent,1,51,58074.0257
171 Lecture Hall Lane,Full-Time,Rent,2,49,57996.198
155 Clock Tower Road,Full-Time,Own,2,32,56426.29226
178 Research Boulevard,Full-Time,Rent,3,32,59673.54566
76 Research Boulevard,Unemployed,Rent,1,44,9192.86416
170 Alumni Grove,Retired,Own,1,42,27391.19681
117 Union Street,Part-Time,Own,2,57,24762.54701
177 Seminar Terrace,Unemployed,Rent,6,26,9277.972703
131 Parliament Street,Full-Time,Own,5,30,46477.8
9 Ivy Boulevard,Part-Time,Rent,5,31,27135.31687
122 College Crescent,Full-Time,Rent,2,27,59527.43519
63 Blossom Rise,Retired,Own,1,59,29445.98267
86 Cathedral Row,Part-Time,Own,6,55,28717.80089
105 Bluebell View,Full-Time,Rent,4,38,47427.85648
144 Alumni Grove,Unemployed,Rent,1,44,9949.488244
78 Rosehip Road,Full-Time,Own,1,42,48550.69791
170 Campus Avenue,Full-Time,Own,1,52,46040.19326
69 Varsity Place,Unemployed,Rent,5,58,9053.427313
118 Cedar Crescent,Full-Time,Own,2,47,58612.31808
176 Castle Lane,Part-Time,Own,6,56,26407.21075
112 Academic Crescent,Full-Time,Own,6,39,47953.8971
125 Mill Street,Full-Time,Rent,5,53,53830.08842
131 Castle Lane,Part-Time,Rent,2,35,35678.04612
139 Victoria Parade,Retired,Own,1,40,27096.61611
107 Lab Street,Full-Time,Rent,3,55,50873.82498
153 Rosehip Road,Full-Time,Own,5,29,49271.4678
93 College Crescent,Full-Time,Own,2,28,52896.74336
126 Manor Row,Part-Time,Rent,3,50,32237.05435
56 Campus Avenue,Full-Time,Rent,5,34,59857.53981
181 Library Lane,Unemployed,Rent,1,51,9397.35417
148 Lecture Hall Lane,Unemployed,Rent,3,31,8849.746908
115 Clock Tower Road,Full-Time,Own,5,29,48503.80558
49 Scholar’s Walk,Full-Time,Rent,2,59,44924.60935
41 Poppy Crescent,Full-Time,Rent,1,58,40922.85792
182 Horizon Close,Full-Time,Own,2,52,59345.9452
170 Research Boulevard,Retired,Rent,2,59,20610.91204
130 George Square,Part-Time,Rent,4,29,29777.47115
191 Grand Arcade,Full-Time,Own,4,39,49558.84298
127 Silverleaf Way,Part-Time,Own,5,57,26224.66647
175 Rosehip Road,Full-Time,Rent,3,52,51550.27259
102 Castle View,Full-Time,Rent,6,52,56488.26584
77 Church Road,Full-Time,Own,3,44,57527.30956
163 Castle View,Retired,Own,1,52,23658.57846
71 Alumni Grove,Unemployed,Rent,6,39,8776.757334
177 Bluebell View,Part-Time,Rent,1,45,30083.55532
19 Magnolia Row,Full-Time,Own,2,59,42435.25052
68 Exchange Place,Part-Time,Rent,6,28,34203.15304
14 Graduation Way,Full-Time,Rent,2,51,49205.58016
31 Bluebell View,Part-Time,Rent,4,34,34676.66933
52 Prince’s Gate,Full-Time,Own,4,38,40753.45617
61 Primrose Avenue,Full-Time,Rent,5,37,56918.26398
68 Research Boulevard,Full-Time,Rent,3,26,45192.19401
105 Chestnut Mews,Part-Time,Own,3,53,35466.00559
12 Exchange Place,Part-Time,Own,1,25,24925.80073
140 Rosehip Road,Full-Time,Own,4,41,56770.92269
128 Professor’s Close,Unemployed,Rent,1,52,10135.44494
48 Lab Street,Unemployed,Rent,2,43,8776.36359
196 Heritage Close,Part-Time,Own,5,57,29174.39153
8 Horizon Close,Part-Time,Own,3,28,27642.23074
27 Albert Walk,Full-Time,Own,4,50,44765.54122
84 Crown Street,Retired,Rent,1,48,26216.10183
96 Castle Lane,Full-Time,Own,6,31,53508.08103
164 Rosehip Road,Full-Time,Rent,5,50,42129.29033
102 Scholar’s Walk,Part-Time,Rent,5,40,32703.22791
141 Market Lane,Full-Time,Rent,6,38,49660.17056
166 Pillory Hill,Retired,Rent,1,36,25300.88548
103 Campus Avenue,Full-Time,Rent,4,35,54874.3915
66 Crown Street,Full-Time,Rent,4,25,48636.27063
110 Poppy Crescent,Retired,Rent,1,59,25935.49773
186 Castle View,Full-Time,Own,3,56,50260.77151
